baker,last_name,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
Amelia,LeBruin,24,Fashion designer,Halifax,10,10,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,10,NA,NA,NA,NA
Helena,Garcia,40,Online project manager,Leeds,10,10,NA,NA,NA,NA
Henry,Bird,20,Student,Durham,10,10,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,10,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,10,NA,NA,NA,NA
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,10,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,10,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,10,NA,NA,NA,NA
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,10,NA,NA,NA,NA
